,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reg__dropout,param_reg__maxlen,param_reg__neurons,param_reg__optimizer,param_trans__maxlen,param_trans__num_words,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
0,1279.2209210395813,14.045861005783081,6.666512131690979,0.7696758508682251,0.1,300,10,adam,300,,"{'reg__dropout': 0.1, 'reg__maxlen': 300, 'reg__neurons': 10, 'reg__optimizer': 'adam', 'trans__maxlen': 300, 'trans__num_words': None}",-2.0988094276190368,-2.0693348677524264,-2.0840721476857316,0.014737279933305203,22,-1.416013718361143,-1.4884019530882344,-1.4522078357246886,0.03619411736354572
1,1301.5056575536728,7.371760964393616,6.639976501464844,0.5029590129852295,0.1,300,10,adam,300,7000,"{'reg__dropout': 0.1, 'reg__maxlen': 300, 'reg__neurons': 10, 'reg__optimizer': 'adam', 'trans__maxlen': 300, 'trans__num_words': 7000}",-2.094743369669272,-2.082717200627716,-2.0887302851484937,0.006013084520777978,23,-1.5020281821522952,-1.3879859675251338,-1.4450070748387145,0.05702110731358068
2,1346.189441204071,4.130933523178101,9.142759919166565,0.42813074588775635,0.1,300,10,Adadelta,300,,"{'reg__dropout': 0.1, 'reg__maxlen': 300, 'reg__neurons': 10, 'reg__optimizer': 'Adadelta', 'trans__maxlen': 300, 'trans__num_words': None}",-2.033172583576795,-2.230912934839389,-2.1320427592080917,0.09887017563129707,30,-1.634123004381014,-1.654080533594879,-1.6441017689879465,0.009978764606932478
3,1335.5613347291946,0.4722186326980591,9.054222702980042,1.6775497198104858,0.1,300,10,Adadelta,300,7000,"{'reg__dropout': 0.1, 'reg__maxlen': 300, 'reg__neurons': 10, 'reg__optimizer': 'Adadelta', 'trans__maxlen': 300, 'trans__num_words': 7000}",-2.025407246573347,-2.1908000966403542,-2.1081036716068504,0.0826964250335036,28,-1.4462835580937645,-1.7536914547285616,-1.599987506411163,0.15370394831739853
4,1318.8680181503296,7.875452995300293,7.612697720527649,1.5460454225540161,0.1,300,100,adam,300,,"{'reg__dropout': 0.1, 'reg__maxlen': 300, 'reg__neurons': 100, 'reg__optimizer': 'adam', 'trans__maxlen': 300, 'trans__num_words': None}",-2.6141400811656554,-2.554142583411669,-2.584141332288662,0.029998748876993275,44,-0.905378542999465,-0.9581733133512748,-0.9317759281753699,0.026397385175904897
5,1313.9966423511505,16.882320880889893,7.006312251091003,0.3895219564437866,0.1,300,100,adam,300,7000,"{'reg__dropout': 0.1, 'reg__maxlen': 300, 'reg__neurons': 100, 'reg__optimizer': 'adam', 'trans__maxlen': 300, 'trans__num_words': 7000}",-2.519536448121991,-2.4654877186501785,-2.4925120833860848,0.027024364735906303,38,-1.0864685212281562,-0.9488188643825277,-1.017643692805342,0.06882482842281423
6,1333.4470429420471,2.2274343967437744,7.955512762069702,0.356182336807251,0.1,300,100,Adadelta,300,,"{'reg__dropout': 0.1, 'reg__maxlen': 300, 'reg__neurons': 100, 'reg__optimizer': 'Adadelta', 'trans__maxlen': 300, 'trans__num_words': None}",-2.115628995607567,-1.9867402635388083,-2.051184629573188,0.06444436603437942,18,-1.5325068911353064,-1.3293948135289089,-1.4309508523321077,0.10155603880319874
7,1328.3783435821533,10.231281042098999,6.257742881774902,0.6492655277252197,0.1,300,100,Adadelta,300,7000,"{'reg__dropout': 0.1, 'reg__maxlen': 300, 'reg__neurons': 100, 'reg__optimizer': 'Adadelta', 'trans__maxlen': 300, 'trans__num_words': 7000}",-2.0333439389647947,-2.41295058493824,-2.2231472619515174,0.18980332298672264,35,-1.4976591669910655,-1.506359061717721,-1.5020091143543932,0.004349947363327722
8,1310.1040697097778,12.823240518569946,6.783188700675964,0.297143816947937,0.2,300,10,adam,300,,"{'reg__dropout': 0.2, 'reg__maxlen': 300, 'reg__neurons': 10, 'reg__optimizer': 'adam', 'trans__maxlen': 300, 'trans__num_words': None}",-1.979828086732748,-2.2100686903019406,-2.0949483885173446,0.11512030178459631,24,-1.4962664919230086,-1.4915822277253272,-1.493924359824168,0.00234213209884071
9,1289.9038488864899,0.13768315315246582,7.377678871154785,0.27876853942871094,0.2,300,10,adam,300,7000,"{'reg__dropout': 0.2, 'reg__maxlen': 300, 'reg__neurons': 10, 'reg__optimizer': 'adam', 'trans__maxlen': 300, 'trans__num_words': 7000}",-1.9834719448881082,-2.040607530690026,-2.0120397377890673,0.02856779290095901,11,-1.4874269079681333,-1.4276809339788734,-1.4575539209735033,0.029872986994629924
10,1321.3834359645844,20.74795436859131,6.97063148021698,0.19276416301727295,0.2,300,10,Adadelta,300,,"{'reg__dropout': 0.2, 'reg__maxlen': 300, 'reg__neurons': 10, 'reg__optimizer': 'Adadelta', 'trans__maxlen': 300, 'trans__num_words': None}",-1.996975286627962,-1.9897162912249151,-1.9933457889264385,0.003629497701523432,6,-1.5723598181375986,-1.3792483374852846,-1.4758040778114416,0.09655574032615699
11,1379.0716845989227,1.9463703632354736,8.492050409317017,0.5226583480834961,0.2,300,10,Adadelta,300,7000,"{'reg__dropout': 0.2, 'reg__maxlen': 300, 'reg__neurons': 10, 'reg__optimizer': 'Adadelta', 'trans__maxlen': 300, 'trans__num_words': 7000}",-1.9813715759295154,-1.9849278868066929,-1.9831497313681041,0.0017781554385887244,5,-1.5029046984047976,-1.463250719238289,-1.4830777088215434,0.01982698958325424
