,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_sampl__sampling_strategy,param_tfidf__use_idf,param_vect__binary,param_vect__max_df,param_vect__max_features,param_vect__ngram_range,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
0,1.012479543685913,0.04586148262023926,1.052172064781189,0.027782559394836426,auto,True,True,1.0,,"(1, 1)","{'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': True, 'vect__max_df': 1.0, 'vect__max_features': None, 'vect__ngram_range': (1, 1)}",-0.946598900210169,-1.1470565803934212,-1.0468277403017952,0.1002288400916261,11,-0.6236093318301437,-0.6218725836594106,-0.6227409577447771,0.0008683740853665523
1,5.702914834022522,0.25839269161224365,3.048364996910095,0.04885232448577881,auto,True,True,1.0,,"(1, 2)","{'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': True, 'vect__max_df': 1.0, 'vect__max_features': None, 'vect__ngram_range': (1, 2)}",-1.151235997387113,-1.3429886898705359,-1.2471123436288245,0.0958763462417115,47,-0.7524926308843749,-0.7903662148419641,-0.7714294228631695,0.01893679197879461
2,4.33027970790863,0.3162003755569458,2.6401933431625366,0.06351339817047119,auto,True,True,1.0,,"(2, 2)","{'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': True, 'vect__max_df': 1.0, 'vect__max_features': None, 'vect__ngram_range': (2, 2)}",-1.5571272186562406,-1.6755326609685455,-1.616329939812393,0.05920272115615244,79,-0.9339391530023761,-0.9873813150928161,-0.960660234047596,0.02672108104522003
3,0.9734184741973877,0.04231381416320801,0.9659789800643921,0.08978879451751709,auto,True,True,1.0,10000,"(1, 1)","{'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': True, 'vect__max_df': 1.0, 'vect__max_features': 10000, 'vect__ngram_range': (1, 1)}",-0.9368935232901384,-1.144501479206314,-1.0406975012482262,0.10380397795808777,7,-0.6219978543038003,-0.6163776898121336,-0.6191877720579669,0.002810082245833345
4,5.1876912117004395,0.3497002124786377,2.844649076461792,0.2838149070739746,auto,True,True,1.0,10000,"(1, 2)","{'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': True, 'vect__max_df': 1.0, 'vect__max_features': 10000, 'vect__ngram_range': (1, 2)}",-0.9507554745122121,-1.141818229536464,-1.0462868520243382,0.09553137751212598,9,-0.6246711620538916,-0.6302354684556686,-0.6274533152547801,0.002782153200888482
5,3.9352434873580933,0.5910912752151489,1.9273793697357178,0.3205118179321289,auto,True,True,1.0,10000,"(2, 2)","{'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': True, 'vect__max_df': 1.0, 'vect__max_features': 10000, 'vect__ngram_range': (2, 2)}",-1.4468128174582704,-1.5290723679551141,-1.487942592706692,0.041129775248421874,67,-0.9012258540845476,-0.8858099905358273,-0.8935179223101875,0.007707931774360133
6,1.2536357641220093,0.017287373542785645,1.0462749004364014,0.011326074600219727,auto,True,True,0.8,,"(1, 1)","{'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': True, 'vect__max_df': 0.8, 'vect__max_features': None, 'vect__ngram_range': (1, 1)}",-0.946598900210169,-1.1470565803934212,-1.0468277403017952,0.1002288400916261,11,-0.6236093318301437,-0.6218725836594106,-0.6227409577447771,0.0008683740853665523
7,6.161404490470886,0.11272823810577393,2.7040992975234985,0.0036679506301879883,auto,True,True,0.8,,"(1, 2)","{'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': True, 'vect__max_df': 0.8, 'vect__max_features': None, 'vect__ngram_range': (1, 2)}",-1.151235997387113,-1.3429886898705359,-1.2471123436288245,0.0958763462417115,47,-0.7524926308843749,-0.7903662148419641,-0.7714294228631695,0.01893679197879461
8,5.315384745597839,0.4703313112258911,1.8432611227035522,0.00954735279083252,auto,True,True,0.8,,"(2, 2)","{'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': True, 'vect__max_df': 0.8, 'vect__max_features': None, 'vect__ngram_range': (2, 2)}",-1.5571272186562406,-1.6755326609685455,-1.616329939812393,0.05920272115615244,79,-0.9339391530023761,-0.9873813150928161,-0.960660234047596,0.02672108104522003
9,1.375096321105957,0.03583550453186035,1.8793317079544067,0.20233070850372314,auto,True,True,0.8,10000,"(1, 1)","{'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': True, 'vect__max_df': 0.8, 'vect__max_features': 10000, 'vect__ngram_range': (1, 1)}",-0.9368935232901384,-1.144501479206314,-1.0406975012482262,0.10380397795808777,7,-0.6219978543038003,-0.6163776898121336,-0.6191877720579669,0.002810082245833345
10,5.464497089385986,0.06872081756591797,2.0994828939437866,0.19183599948883057,auto,True,True,0.8,10000,"(1, 2)","{'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': True, 'vect__max_df': 0.8, 'vect__max_features': 10000, 'vect__ngram_range': (1, 2)}",-0.9507554745122121,-1.141818229536464,-1.0462868520243382,0.09553137751212598,9,-0.6246711620538916,-0.6302354684556686,-0.6274533152547801,0.002782153200888482
