,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_sampl__k_neighbors,param_sampl__sampling_strategy,param_tfidf__use_idf,param_vect__binary,param_vect__max_df,param_vect__max_features,param_vect__ngram_range,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
0,22.521904230117798,0.02734684944152832,1.113544225692749,0.011932373046875,1,auto,True,True,1.0,,"(1, 1)","{'sampl__k_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': True, 'vect__max_df': 1.0, 'vect__max_features': None, 'vect__ngram_range': (1, 1)}",-1.1051272030868986,-1.407248951747405,-1.2561880774171519,0.15106087433025317,103,-0.07436810934409033,-0.07125721158098805,-0.07281266046253919,0.0015554488815511386
1,31.168090105056763,0.040348052978515625,2.230670213699341,0.026630163192749023,1,auto,True,True,1.0,,"(1, 2)","{'sampl__k_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': True, 'vect__max_df': 1.0, 'vect__max_features': None, 'vect__ngram_range': (1, 2)}",-1.3215170028119376,-1.552554649936577,-1.4370358263742573,0.11551882356231968,199,-0.03206360249543667,-0.03200783233771497,-0.03203571741657582,2.7885078860850204e-05
2,27.33076500892639,0.06796979904174805,1.486196517944336,0.0449676513671875,1,auto,True,True,1.0,,"(2, 2)","{'sampl__k_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': True, 'vect__max_df': 1.0, 'vect__max_features': None, 'vect__ngram_range': (2, 2)}",-1.8518064289722294,-2.27426181078384,-2.0630341198780346,0.2112276909058054,339,-0.08167188540226719,-0.03878913920003856,-0.06023051230115288,0.021441373101114315
3,22.772056102752686,0.13196444511413574,1.0566740036010742,0.029858827590942383,1,auto,True,True,1.0,10000,"(1, 1)","{'sampl__k_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': True, 'vect__max_df': 1.0, 'vect__max_features': 10000, 'vect__ngram_range': (1, 1)}",-1.0697663697423738,-1.3715212165678359,-1.2206437931551049,0.15087742341273103,79,-0.09870875766834968,-0.09220567635634047,-0.09545721701234508,0.0032515406560046024
4,26.68134117126465,0.12978720664978027,1.9145467281341553,0.0818169116973877,1,auto,True,True,1.0,10000,"(1, 2)","{'sampl__k_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': True, 'vect__max_df': 1.0, 'vect__max_features': 10000, 'vect__ngram_range': (1, 2)}",-1.0651692646685542,-1.3285048774057695,-1.1968370710371619,0.13166780636860764,65,-0.07982920862610025,-0.07381299484608503,-0.07682110173609263,0.0030081068900076127
5,23.475664973258972,0.08562314510345459,1.3573212623596191,0.0027680397033691406,1,auto,True,True,1.0,10000,"(2, 2)","{'sampl__k_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': True, 'vect__max_df': 1.0, 'vect__max_features': 10000, 'vect__ngram_range': (2, 2)}",-1.507846401587693,-1.5265198851148978,-1.5171831433512954,0.00933674176360244,243,-0.20471909423428788,-0.19381101410154342,-0.19926505416791565,0.005454040066372234
6,23.091890454292297,0.1637634038925171,1.0915063619613647,0.03192245960235596,1,auto,True,True,0.8,,"(1, 1)","{'sampl__k_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': True, 'vect__max_df': 0.8, 'vect__max_features': None, 'vect__ngram_range': (1, 1)}",-1.1051272030868986,-1.407248951747405,-1.2561880774171519,0.15106087433025317,103,-0.07436810934409033,-0.07125721158098805,-0.07281266046253919,0.0015554488815511386
7,30.578240633010864,0.05029416084289551,2.2482149600982666,0.08692502975463867,1,auto,True,True,0.8,,"(1, 2)","{'sampl__k_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': True, 'vect__max_df': 0.8, 'vect__max_features': None, 'vect__ngram_range': (1, 2)}",-1.3215170028119376,-1.552554649936577,-1.4370358263742573,0.11551882356231968,199,-0.03206360249543667,-0.03200783233771497,-0.03203571741657582,2.7885078860850204e-05
8,27.242437601089478,0.09874486923217773,1.5907998085021973,0.02251720428466797,1,auto,True,True,0.8,,"(2, 2)","{'sampl__k_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': True, 'vect__max_df': 0.8, 'vect__max_features': None, 'vect__ngram_range': (2, 2)}",-1.8518064289722294,-2.27426181078384,-2.0630341198780346,0.2112276909058054,339,-0.08167188540226719,-0.03878913920003856,-0.06023051230115288,0.021441373101114315
9,23.165679454803467,0.4384746551513672,1.11773681640625,0.014424562454223633,1,auto,True,True,0.8,10000,"(1, 1)","{'sampl__k_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': True, 'vect__max_df': 0.8, 'vect__max_features': 10000, 'vect__ngram_range': (1, 1)}",-1.0697663697423738,-1.3715212165678359,-1.2206437931551049,0.15087742341273103,79,-0.09870875766834968,-0.09220567635634047,-0.09545721701234508,0.0032515406560046024
